+----------------+---------------------+------+----------------------------------------------------------------+-----------------------+-----------------------+
| unix_timestamp | timestamp           | name | filename                                                       | image_shift_x         | image_shift_y         |
+----------------+---------------------+------+----------------------------------------------------------------+-----------------------+-----------------------+
|     1571416605 | 2019-10-18 09:36:45 | en   | 19oct18b_00001sq_v02_00002hl_v01_00002en                       | -1.98457484290214e-06 |  -7.4218745110706e-08 |
|     1571416698 | 2019-10-18 09:38:18 | en   | 19oct18b_00001sq_v02_00002hl_v01_00003en                       |   -1.764220466471e-06 | -9.48060340865535e-07 |
|     1571416790 | 2019-10-18 09:39:50 | en   | 19oct18b_00001sq_v02_00002hl_v01_00004en                       |  1.15146531244584e-06 | -2.40637802445125e-06 |
|     1571416882 | 2019-10-18 09:41:22 | en   | 19oct18b_00001sq_v02_00002hl_v01_00005en                       |  1.89008808497962e-06 |  -1.8079791805418e-06 |
|     1571417040 | 2019-10-18 09:44:00 | en   | 19oct18b_00001sq_v03_00003hl_v01_00002en                       |  5.39851865460243e-07 |  2.76581261233892e-06 |
|     1571417134 | 2019-10-18 09:45:34 | en   | 19oct18b_00001sq_v03_00003hl_v01_00003en                       |  1.49273301073523e-06 |   3.0526368493103e-06 |
|     1571417231 | 2019-10-18 09:47:11 | en   | 19oct18b_00001sq_v03_00003hl_v01_00004en                       |  1.55742518044901e-06 | -2.31578697816443e-06 |
|     1571417323 | 2019-10-18 09:48:43 | en   | 19oct18b_00001sq_v03_00003hl_v01_00005en                       |  1.55742518044901e-06 | -2.31578697816443e-06 |
|     1571417415 | 2019-10-18 09:50:15 | en   | 19oct18b_00001sq_v03_00003hl_v01_00006en                       |  2.49494039952513e-06 | -1.75876910869842e-06 |
|     1571417507 | 2019-10-18 09:51:47 | en   | 19oct18b_00001sq_v03_00003hl_v01_00007en                       |  3.48548493842939e-06 |  1.33820551275203e-06 |
|     1571421975 | 2019-10-18 11:06:15 | en   | 19oct18b_AC41_4_00021gr_00001sq_v02_00002hl_2_v01_00002en      | -1.29046797908976e-06 | -1.07156434509753e-07 |
|     1571422064 | 2019-10-18 11:07:44 | en   | 19oct18b_AC41_4_00021gr_00001sq_v02_00002hl_2_v01_00003en      | -1.24478067378274e-06 | -1.22591819874518e-06 |
|     1571422152 | 2019-10-18 11:09:12 | en   | 19oct18b_AC41_4_00021gr_00001sq_v02_00002hl_2_v01_00004en      |  1.62772398745668e-06 | -2.42470612345513e-06 |
|     1571422249 | 2019-10-18 11:10:49 | en   | 19oct18b_AC41_4_00021gr_00001sq_v02_00002hl_2_v01_00005en      |  2.79036491536624e-06 | -2.96669030193959e-06 |
|     1571422346 | 2019-10-18 11:12:26 | en   | 19oct18b_AC41_4_00021gr_00001sq_v02_00002hl_2_v01_00006en      |  4.01253319545828e-06 |  1.53831484104201e-06 |
|     1571422433 | 2019-10-18 11:13:53 | en   | 19oct18b_AC41_4_00021gr_00001sq_v02_00002hl_2_v01_00007en      |  4.33159842230869e-06 |  5.64416532215328e-07 |
|     1571422521 | 2019-10-18 11:15:21 | en   | 19oct18b_AC41_4_00021gr_00001sq_v02_00002hl_2_v01_00008en      |  4.29843895879852e-07 |   3.0846702241599e-06 |
|     1571422670 | 2019-10-18 11:17:50 | en   | 19oct18b_AC41_4_00021gr_00001sq_v03_00003hl_2_v01_00002en      | -1.34236434752994e-06 | -3.30682725684716e-07 |
|     1571422758 | 2019-10-18 11:19:18 | en   | 19oct18b_AC41_4_00021gr_00001sq_v03_00003hl_2_v01_00003en      | -1.34236434752994e-06 | -3.30682725684716e-07 |
|     1571422847 | 2019-10-18 11:20:47 | en   | 19oct18b_AC41_4_00021gr_00001sq_v03_00003hl_2_v01_00004en      |  1.32122853259978e-06 | -2.10046324507675e-06 |
|     1571422936 | 2019-10-18 11:22:16 | en   | 19oct18b_AC41_4_00021gr_00001sq_v03_00003hl_2_v01_00005en      |  2.71129417284553e-06 | -1.62624649113204e-06 |
